Geography ID, Name,County,Tribal Areas,Avg. Energy Burden (% income)
42101010600,Census Tract 106,Philadelphia County,,7
42101010700,Census Tract 107,Philadelphia County,,7
42101010800,Census Tract 108,Philadelphia County,,7
42101010900,Census Tract 109,Philadelphia County,,6
42101001101,Census Tract 11.01,Philadelphia County,,1
42101001102,Census Tract 11.02,Philadelphia County,,1
42101014000,Census Tract 140,Philadelphia County,,5
42101014300,Census Tract 143,Philadelphia County,,2
42101014500,Census Tract 145,Philadelphia County,,5
42101014600,Census Tract 146,Philadelphia County,,4
42101017201,Census Tract 172.01,Philadelphia County,,5
42101017702,Census Tract 177.02,Philadelphia County,,9
42101018800,Census Tract 188,Philadelphia County,,7
42101019501,Census Tract 195.01,Philadelphia County,,8
42101019502,Census Tract 195.02,Philadelphia County,,6
42101020102,Census Tract 201.02,Philadelphia County,,5
42101002000,Census Tract 20,Philadelphia County,,4
42101021800,Census Tract 218,Philadelphia County,,2
42101023800,Census Tract 238,Philadelphia County,,3
42101024800,Census Tract 248,Philadelphia County,,4
42101026600,Census Tract 266,Philadelphia County,,5
42101026700,Census Tract 267,Philadelphia County,,5
42101026800,Census Tract 268,Philadelphia County,,4
42101026900,Census Tract 269,Philadelphia County,,3
42101027100,Census Tract 271,Philadelphia County,,4
42101027200,Census Tract 272,Philadelphia County,,4
42101027300,Census Tract 273,Philadelphia County,,4
42101027402,Census Tract 274.02,Philadelphia County,,5
42101028100,Census Tract 281,Philadelphia County,,5
42101028902,Census Tract 289.02,Philadelphia County,,6
42101031101,Census Tract 311.01,Philadelphia County,,5
42101031102,Census Tract 311.02,Philadelphia County,,4
42101031200,Census Tract 312,Philadelphia County,,4
42101031501,Census Tract 315.01,Philadelphia County,,4
42101033101,Census Tract 331.01,Philadelphia County,,4
42101033102,Census Tract 331.02,Philadelphia County,,4
42101033500,Census Tract 335,Philadelphia County,,4
42101033701,Census Tract 337.01,Philadelphia County,,4
42101033702,Census Tract 337.02,Philadelphia County,,4
42101034501,Census Tract 345.01,Philadelphia County,,3
42101034803,Census Tract 348.03,Philadelphia County,,3
42101035302,Census Tract 353.02,Philadelphia County,,3
42101035701,Census Tract 357.01,Philadelphia County,,3
42101035702,Census Tract 357.02,Philadelphia County,,4
42101036501,Census Tract 365.01,Philadelphia County,,3
42101036502,Census Tract 365.02,Philadelphia County,,2
